开仓日期,开仓价,平仓日期,平仓价,持仓数量,毛利盈亏,净盈亏,是否盈利
2024-03-28,8.59,2024-04-15,8.15,110300,-48532.0,-48533.85,否
2024-04-26,8.67,2024-06-07,9.0,104000,34320.0,34318.16,是
2024-07-04,9.1,2024-08-02,9.02,102700,-8216.0,-8217.86,否
2024-08-22,9.14,2024-09-10,8.66,101400,-48672.0,-48673.8,否
2024-09-30,10.42,2024-10-31,10.37,86300,-4315.0,-4316.79,否
2024-11-19,10.79,2024-11-26,10.22,81400,-46398.0,-46399.71,否
2024-12-11,10.83,2025-01-09,10.54,77000,-22330.0,-22331.65,否
2025-02-14,10.53,2025-03-10,10.7,77100,13107.0,13105.36,是
2025-03-14,10.86,2025-03-27,10.41,75800,-34110.0,-34111.61,否
2025-04-29,10.04,2025-07-28,11.75,78900,134919.0,134917.28,是
2025-10-21,11.04,2025-12-05,11.13,83200,7488.0,7486.16,是
2025-12-26,11.2,2026-01-13,11.12,82800,-6624.0,-6625.85,否
2026-02-25,10.55,2026-03-04,10.48,87400,-6118.0,-6119.84,否
2026-03-20,10.51,2026-04-24,10.62,87000,9570.0,9568.16,是
2026-04-30,11.14,2026-05-20,10.5,82900,-53056.0,-53057.79,否
2026-06-09,10.65,2026-06-30,10.22,82000,-35260.0,-35261.71,否
2026-07-16,10.85,2026-08-18,11.1,77600,19400.0,19398.3,是
