开仓日期,开仓价,平仓日期,平仓价,持仓数量,毛利盈亏,净盈亏,是否盈利
2025-10-10,33.48,2025-10-21,33.49,35500,355.0,352.62,是
2025-10-23,34.15,2025-10-24,33.12,34800,-35844.0,-35846.34,否
2025-11-03,36.3,2025-11-07,33.89,33100,-79771.0,-79773.32,否
2025-11-12,33.66,2025-11-14,33.15,31800,-16218.0,-16220.12,否
2025-11-26,31.2,2025-12-01,30.65,34100,-18755.0,-18757.11,否
2025-12-04,29.85,2025-12-10,29.37,34900,-16752.0,-16754.07,否
2025-12-16,29.94,2025-12-19,29.89,33800,-1690.0,-1692.02,否
2025-12-22,30.08,2025-12-30,29.54,33900,-18306.0,-18308.02,否
2026-01-07,29.55,2026-01-15,30.2,34100,22165.0,22162.96,是
2026-01-22,31.49,2026-01-26,30.6,33000,-29370.0,-29372.05,否
2026-02-03,28.98,2026-02-09,28.97,34700,-347.0,-349.01,否
2026-02-24,28.99,2026-03-02,29.45,34900,16054.0,16051.96,是
2026-03-09,28.89,2026-03-12,28.55,35100,-11934.0,-11936.02,否
2026-03-18,26.94,2026-03-20,26.32,37200,-23064.0,-23065.98,否
2026-03-25,25.3,2026-03-30,24.53,38700,-29799.0,-29800.93,否
2026-04-08,24.91,2026-04-14,25.77,39000,33540.0,33538.02,是
2026-04-15,25.98,2026-04-22,26.72,38000,28120.0,28118.0,是
2026-04-30,26.45,2026-05-12,25.81,38200,-24448.0,-24450.0,否
2026-05-25,22.8,2026-06-04,23.87,43400,46438.0,46435.97,是
2026-06-10,23.95,2026-06-12,23.8,43300,-6495.0,-6497.07,否
2026-06-15,24.71,2026-06-18,23.1,41200,-66332.0,-66333.97,否
2026-06-30,19.95,2026-07-01,19.45,48800,-24400.0,-24401.92,否
2026-07-02,19.8,2026-07-09,19.5,47800,-14340.0,-14341.88,否
2026-07-13,19.0,2026-07-14,17.9,48700,-53570.0,-53571.8,否
2026-07-17,18.68,2026-07-22,17.32,47700,-64872.0,-64873.72,否
2026-07-28,18.26,2026-08-04,19.38,43800,49056.0,49054.35,是
2026-08-05,19.81,2026-08-10,20.29,43400,20832.0,20830.26,是
2026-08-13,21.5,2026-08-14,20.4,41000,-45100.0,-45101.72,否
2026-08-25,19.14,2026-09-01,20.47,43800,58254.0,58252.27,是
2026-09-02,20.45,2026-09-14,21.6,44000,50600.0,50598.15,是
