开仓日期,开仓价,平仓日期,平仓价,持仓数量,毛利盈亏,净盈亏,是否盈利
2024-02-02,11.75,2024-02-29,10.7,80200,-84210.0,-84211.8,否
2024-03-11,11.65,2024-03-18,13.88,75600,168588.0,168586.07,是
2024-03-20,14.03,2024-03-25,13.67,72200,-25992.0,-25994.0,否
2024-03-29,14.42,2024-04-02,13.94,69700,-33456.0,-33457.98,否
2024-04-18,10.82,2024-04-24,11.07,89900,22475.0,22473.03,是
2024-04-26,11.38,2024-05-06,11.09,87400,-25346.0,-25347.96,否
2024-05-08,11.45,2024-05-14,10.77,85100,-57868.0,-57869.89,否
2024-05-17,11.48,2024-05-22,11.21,79700,-21519.0,-21520.81,否
2024-05-30,10.38,2024-06-05,9.61,85300,-65681.0,-65682.71,否
2024-06-11,9.49,2024-06-24,9.05,89900,-39556.0,-39557.67,否
2024-06-28,8.61,2024-07-02,8.68,92200,6454.0,6452.41,是
2024-07-03,8.89,2024-07-05,8.21,90900,-61812.0,-61813.55,否
2024-07-10,7.74,2024-07-11,7.71,94800,-2844.0,-2845.46,否
2024-07-12,8.07,2024-07-17,7.61,92800,-42688.0,-42689.46,否
2024-07-22,7.6,2024-07-25,7.32,93500,-26180.0,-26181.4,否
2024-07-29,7.66,2024-08-05,9.02,89600,121856.0,121854.51,是
2024-08-19,7.68,2024-08-20,7.8,101400,12168.0,12166.43,是
2024-08-27,7.49,2024-09-05,7.39,107000,-10700.0,-10701.59,否
2024-09-11,7.32,2024-09-18,7.15,108000,-18360.0,-18361.56,否
2024-09-20,7.21,2024-10-09,9.16,108000,210600.0,210598.23,是
2024-10-22,8.55,2024-10-29,10.15,113800,182080.0,182077.87,是
2024-12-04,24.46,2024-12-10,22.66,45600,-82080.0,-82082.15,否
2024-12-13,22.59,2024-12-18,19.53,46900,-143514.0,-143515.98,否
2024-12-19,20.15,2024-12-24,19.23,45800,-42136.0,-42137.8,否
2024-12-27,18.76,2025-01-02,18.15,46900,-28609.0,-28610.73,否
2025-01-03,18.85,2025-01-06,16.89,46200,-90552.0,-90553.65,否
2025-01-07,17.05,2025-01-14,17.21,46400,7424.0,7422.41,是
2025-01-16,18.15,2025-01-22,17.61,43500,-23490.0,-23491.56,否
2025-02-05,18.32,2025-02-14,21.05,41900,114387.0,114385.35,是
2025-02-28,18.98,2025-03-11,18.45,45500,-24115.0,-24116.7,否
2025-03-13,19.75,2025-03-17,19.33,42400,-17808.0,-17809.66,否
2025-03-19,19.94,2025-03-26,19.6,41500,-14110.0,-14111.64,否
2025-04-07,18.13,2025-04-08,16.46,42800,-71476.0,-71477.48,否
2025-04-10,16.72,2025-04-24,21.74,45500,228410.0,228408.25,是
2025-04-30,23.05,2025-05-14,30.04,42800,299172.0,299169.73,是
2025-05-20,34.91,2025-05-23,33.73,35900,-42362.0,-42364.46,否
2025-06-05,36.12,2025-06-10,34.52,33200,-53120.0,-53122.35,否
2025-06-17,34.13,2025-06-18,33.21,34000,-31280.0,-31282.29,否
2025-06-24,31.07,2025-06-30,30.7,36900,-13653.0,-13655.28,否
2025-07-01,31.28,2025-07-10,30.78,36000,-18000.0,-18002.23,否
2025-07-14,33.35,2025-07-17,33.99,32400,20736.0,20733.82,是
2025-07-30,33.98,2025-08-11,35.78,33000,59400.0,59397.7,是
2025-08-12,37.55,2025-08-18,43.28,31400,179922.0,179919.46,是
2025-09-01,39.02,2025-09-04,36.21,34600,-97226.0,-97228.6,否
2025-09-09,38.38,2025-09-12,36.65,32800,-56744.0,-56746.46,否
2025-09-16,37.2,2025-09-22,37.07,32300,-4199.0,-4201.4,否
2025-09-26,35.3,2025-09-29,34.89,33700,-13817.0,-13819.37,否
